tingkat_pendidikan,nama_program_studi,deskripsi
S1,DESAIN KOMUNIKASI VISUAL,"Jurusan Desain Komunikasi Visual atau DKV adalah bagian dari ilmu desain yang mempelajari tentang konsep komunikasi dan ungkapan kreatif, dengan memanfaatkan elemen visual untuk menyampaikan pesan dengan tujuan tertentu."
S1,HUBUNGAN MASYARAKAT,Jurusan Hubungan Masyarakat (Humas) atau Public Relation (PR) mempelajari cara mencipatkan dan mengelola reputasi serta citra positif suatu organisasi.
S1,HUKUM,Ilmu Hukum adalah studi yang mempelajari berbagai sistem hukum yang berkaitan dengan kehidupan kemasyarakatan.
S1,ILMU KOMUNIKASI,Jurusan Ilmu Komunikasi adalah studi yang mempelajari proses penyampaian pesan secara efektif dari komunikator kepada komunikan melalui berbagai media.
S1,JURNALISTIK,Jurusan Jurnalistik mengajak mahasiswa mendalami dunia jurnalistik beserta karakter dan dinamika yang terjadi di berbagai media massa.
DIII,MANAJEMEN,"Jurusan Manajemen adalah program studi yang mempelajari tentang kegiatan perusahaan atau korporasi, yang masih memiliki keterkaitan dengan ilmu ekonomi dan bisnis."
S1,MANAJEMEN,"Jurusan Manajemen adalah program studi yang mempelajari tentang kegiatan perusahaan atau korporasi, yang masih memiliki keterkaitan dengan ilmu ekonomi dan bisnis."
S1,MANAJEMEN KOMUNIKASI,"Jurusan manajemen komunikasi adalah program studi yang fokus pada perencanaan, pelaksanaan, dan evaluasi strategi komunikasi secara efektif di berbagai konteks."
S1,MATEMATIKA,"Jurusan Matematika fokus mempelajari tentang struktur, pola, dan hubungan matematika secara mendalam, seperti geometri, aljabar, teori matematika diskrit dan matematika terapan."
DIII,SISTEM INFORMASI,Jurusan Sistem Informasi adalah bidang keilmuan yang menggabungkan ilmu komputer dengan bisnis dan manajemen.
S1,SISTEM INFORMASI,Jurusan Sistem Informasi adalah bidang keilmuan yang menggabungkan ilmu komputer dengan bisnis dan manajemen.
S1,STATISTIKA,"Statistika merupakan perpanjangan dari belajar matematika. Bedanya, Statistika lebih fokus ke arah data dan angka dalam kuantitas besar."
DIII,TEKNOLOGI INFORMASI,Teknik Informatika merupakan bidang ilmu yang mempelajari bagaimana menggunakan teknologi komputer secara optimal guna menangani masalah transformasi atau pengolahan data.
S1,TEKNIK INFORMATIKA,Teknik Informatika merupakan bidang ilmu yang mempelajari bagaimana menggunakan teknologi komputer secara optimal guna menangani masalah transformasi atau pengolahan data.
S1,ILMU KOMPUTER,"Ilmu Komputer adalah studi tentang teori, eksperimen, dan rekayasa yang membentuk dasar untuk desain dan penggunaan komputer."
S1,ADMINISTRASI PUBLIK,"Administrasi Publik mempelajari tentang kebijakan publik, manajemen pemerintahan, dan pelayanan publik."
S1,ADMINISTRASI NEGARA,"Administrasi Negara mempelajari tentang kebijakan publik, manajemen pemerintahan, dan pelayanan publik."
S1,ILMU PEMERINTAHAN,"Ilmu Pemerintahan mempelajari tentang sistem pemerintahan, kebijakan publik, dan hubungan antar lembaga pemerintahan."
S1,AKUNTANSI,"Akuntansi adalah studi tentang pencatatan, pengklasifikasian, dan pelaporan transaksi keuangan."
S1,EKONOMI PEMBANGUNAN,"Ekonomi Pembangunan fokus pada analisis dan perencanaan pembangunan ekonomi, terutama di negara berkembang."
S1,PSIKOLOGI,Psikologi adalah ilmu yang mempelajari perilaku dan proses mental manusia.
S1,KESEHATAN MASYARAKAT,Kesehatan Masyarakat mempelajari upaya pencegahan penyakit dan peningkatan kesehatan masyarakat.
S1,KEPERAWATAN,Keperawatan adalah ilmu yang mempelajari perawatan kesehatan pasien dan pelayanan kesehatan.
DIII,KEPERAWATAN,Keperawatan adalah ilmu yang mempelajari perawatan kesehatan pasien dan pelayanan kesehatan.
S1,TEKNIK SIPIL,"Teknik Sipil mempelajari perancangan, pembangunan, dan pemeliharaan infrastruktur."
S1,TEKNIK ELEKTRO,Teknik Elektro mempelajari aplikasi listrik dan elektronika dalam berbagai sistem.
